AsOfDate,DataSource,Nsp_Account_Id,Account_Symbol,Src_Sec_Id,sds_id,Units,Market_Price,Market_Value_Amt_Func,Market_Value_Amt_Rpt,Market_Value_Amt_Lcl,WeightFunc,Amort_Value,Src_Ticker_Symbol,AccruedIncome_Func,AccruedIncome_Rpt,AccruedIncome_Lcl,SecIdtype,SecClassId,Contract_size,Trading_Units,Custom_Sec_Ind,Amort_Price,Reconciled_Flg,Func_Currency_Cd,Func_Currency_Id,Src_MarketValue_Local_Currency_Cd,Src_MarketValue_Local_Currency_Id,Src_Income_Local_Currency_Cd,Src_Income_local_Currency_Id,Short_Term_Flg,Src_Account_Nbr,Dup_Account_Symbol,Major_Issue_Cd,Minor_Issue_Cd,Is_Active,Valid_Start_Dt,Originating_Inc_Curr_Cd,Originating_Principal_Curr_Cd,ISSUE_TYPE_CD,SCREEN_GRP_CD,Src_Functional_Currency_Cd,Src_Futures_GainLoss_Amt_Func,Src_Futures_GainLoss_Amt_Rpt,Swap_Ind,Primary_Spread,Primary_Spread_Type,Effective_Spread,Effective_Spread_Type,Sec_class_Lvl1_cd,Sec_class_Lvl1,Sec_class_Lvl2_cd,Sec_class_Lvl2,Sec_class_Lvl3_cd,Sec_class_Lvl3,SRC_LIN,SRC_LOANXID,CINS,CUSIP,IDBBUNIQUE,ISIN,SEDOL1,SEDOL2,TICKER,EXCHANGE_CD,PARAMOUNT_FUNC,PARAMOUNT_RPT,TKR_AND_EXCH_CD,BookValue_Func,BookValue_Rpt,BookValue_Lcl,Cost_Func,Cost_Rpt,Cost_Lcl,OPS_Notional_Amt,OPS_Notional_Amt_Curr,IDBBGLOBAL,EXPOSURE_FUNC,EXPOSURE_LCL,EXPOSURE_RPT,BALOFFBALVAL_FUNC,BALOFFBALVAL_LCL,BALOFFBALVAL_RPT,BANK_LOAN_OUTSTANDING,SRC_OSI_ID,NET_VM_FUNC,NET_VM_LCL,NET_VM_RPT
20201104,SCD,2,LATFCALFS,46360TDF7,,500000,111.043,555215,555215,555215,0.10298,-1875.54,,4444.44,4444.44,4444.44,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,46360TDF7,FF000EF09EA,US46360TDF75,,,IRVGEN,,,,,530725,530725,530725,530725,530725,530725,0,,BBG006Y002N8,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,463610JZ9,,1060000,131.027,1388886.2,1388886.2,1388886.2,0.257607,-23186.2,,10364.44,10364.44,10364.44,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,463610JZ9,FF000FA4685,US463610JZ93,,,IRVSCD,,,,,1317823.8,1317823.8,1317823.8,1317823.8,1317823.8,1317823.8,0,,BBG00LTPRPX5,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,463610KG9,,1915000,116.012,2221629.8,2221629.8,2221629.8,0.412062,-3580.28,,13617.78,13617.78,13617.78,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,463610KG9,FF000FA468C,US463610KG93,,,IRVSCD,,,,,1984667.7,1984667.7,1984667.7,1984667.7,1984667.7,1984667.7,0,,BBG00LTPRQ45,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,463612HH7,,1000000,114.13,1141300,1141300,1141300,0.211685,-21401.07,,8888.89,8888.89,8888.89,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,463612HH7,FF000F052DC,US463612HH79,,,IRVEDU,,,,,1142290,1142290,1142290,1142290,1142290,1142290,0,,BBG0084HC9T6,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,463612LT6,,1000000,115.068,1150680,1150680,1150680,0.213425,-1528.16,,8888.89,8888.89,8888.89,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,463612LT6,FF000F74636,US463612LT61,,,IRVEDU,,,,,1101290,1101290,1101290,1101290,1101290,1101290,0,,BBG00GXY1XP2,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,463612MJ7,,1000000,116.769,1167690,1167690,1167690,0.21658,-909.06,,8888.89,8888.89,8888.89,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,463612MJ7,FF000F9C5CB,US463612MJ70,,,IRVEDU,,,,,1109530,1109530,1109530,1109530,1109530,1109530,0,,BBG00L2P0692,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,505194DT4,,635000,108.109,686492.15,686492.15,686492.15,0.127329,-8989.48,,14993.06,14993.06,14993.06,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,505194DT4,FF000EECACD,US505194DT40,,,LVRCTF,,,,,664527.5,664527.5,664527.5,664527.5,664527.5,664527.5,0,,BBG006Q90ZR1,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,509632NA9,,920000,112.433,1034383.6,1034383.6,1034383.6,0.191855,-15935.39,,8177.78,8177.78,8177.78,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,509632NA9,FF000F05F78,US509632NA90,,,LKEGEN,,,,,1007832.4,1007832.4,1007832.4,1007832.4,1007832.4,1007832.4,0,,BBG0086K0F16,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,53945CCR9,,1000000,117.386,1173860,1173860,1173860,0.217725,-12312.42,,21388.89,21388.89,21388.89,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,53945CCR9,FF000F12FF6,US53945CCR97,,,LOSUTL,,,,,1121070,1121070,1121070,1121070,1121070,1121070,0,,BBG0092P1HR4,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,53957RAQ5,,1615000,112.252,1812869.8,1812869.8,1812869.8,0.336246,200.1,,16867.78,16867.78,16867.78,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,53957RAQ5,FF000F7DC7B,US53957RAQ56,,,LPSEDU,,,,,1656230.95,1656230.95,1656230.95,1656230.95,1656230.95,1656230.95,0,,BBG00HFX4ZW6,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,53957RBM3,,2000000,122.497,2449940,2449940,2449940,0.454409,207.59,,26111.11,26111.11,26111.11,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,53957RBM3,FF000FABD75,US53957RBM34,,,LPSEDU,,,,,2182520,2182520,2182520,2182520,2182520,2182520,0,,BBG00MHC0L72,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,54241AAN3,,1505000,100.115,1506730.75,1506730.75,1506730.75,0.279465,259061.37,,37311.46,37311.46,37311.46,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,54241AAN3,FF000DDE8B0,US54241AAN37,,,LONUTL,,,,,1244017.95,1244017.95,1244017.95,1244017.95,1244017.95,1244017.95,0,,BBG0010XX597,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,54241AAV5,,1230000,126.692,1558311.6,1558311.6,1558311.6,0.289032,-28720.68,,29041.67,29041.67,29041.67,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,54241AAV5,FF000DDE8B7,US54241AAV52,,,LONUTL,,,,,1535538.8,1535538.8,1535538.8,1535538.8,1535538.8,1535538.8,0,,BBG0010XX5J6,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,54241AAZ6,,1825000,143.84,2625080,2625080,2625080,0.486893,-61968.66,,47399.31,47399.31,47399.31,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,54241AAZ6,FF000DDE8BB,US54241AAZ66,,,LONUTL,,,,,2459254.8,2459254.8,2459254.8,2459254.8,2459254.8,2459254.8,0,,BBG0010XX5N1,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,54241ABB8,,1000000,101.39,1013900,1013900,1013900,0.188056,47839.37,,3536.61,3536.61,3536.61,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,54241ABB8,FF000DDE8BD,US54241ABB89,,,LONUTL,,,,,882500,882500,882500,882500,882500,882500,0,,BBG0010XX5Q8,,,,0,0,0,0,,0,0,0
