AsOfDate,DataSource,Nsp_Account_Id,Account_Symbol,Src_Sec_Id,sds_id,Units,Market_Price,Market_Value_Amt_Func,Market_Value_Amt_Rpt,Market_Value_Amt_Lcl,WeightFunc,Amort_Value,Src_Ticker_Symbol,AccruedIncome_Func,AccruedIncome_Rpt,AccruedIncome_Lcl,SecIdtype,SecClassId,Contract_size,Trading_Units,Custom_Sec_Ind,Amort_Price,Reconciled_Flg,Func_Currency_Cd,Func_Currency_Id,Src_MarketValue_Local_Currency_Cd,Src_MarketValue_Local_Currency_Id,Src_Income_Local_Currency_Cd,Src_Income_local_Currency_Id,Short_Term_Flg,Src_Account_Nbr,Dup_Account_Symbol,Major_Issue_Cd,Minor_Issue_Cd,Is_Active,Valid_Start_Dt,Originating_Inc_Curr_Cd,Originating_Principal_Curr_Cd,ISSUE_TYPE_CD,SCREEN_GRP_CD,Src_Functional_Currency_Cd,Src_Futures_GainLoss_Amt_Func,Src_Futures_GainLoss_Amt_Rpt,Swap_Ind,Primary_Spread,Primary_Spread_Type,Effective_Spread,Effective_Spread_Type,Sec_class_Lvl1_cd,Sec_class_Lvl1,Sec_class_Lvl2_cd,Sec_class_Lvl2,Sec_class_Lvl3_cd,Sec_class_Lvl3,SRC_LIN,SRC_LOANXID,CINS,CUSIP,IDBBUNIQUE,ISIN,SEDOL1,SEDOL2,TICKER,EXCHANGE_CD,PARAMOUNT_FUNC,PARAMOUNT_RPT,TKR_AND_EXCH_CD,BookValue_Func,BookValue_Rpt,BookValue_Lcl,Cost_Func,Cost_Rpt,Cost_Lcl,OPS_Notional_Amt,OPS_Notional_Amt_Curr,IDBBGLOBAL,EXPOSURE_FUNC,EXPOSURE_LCL,EXPOSURE_RPT,BALOFFBALVAL_FUNC,BALOFFBALVAL_LCL,BALOFFBALVAL_RPT,BANK_LOAN_OUTSTANDING,SRC_OSI_ID,NET_VM_FUNC,NET_VM_LCL,NET_VM_RPT,CLIENT_SRC_SEC_ID
20201023,SST,11,AFFIL,037833100,,624900,115.04,71888496,71888496,71888496,,42724204.8,AAPL,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,29164291.2,29164291.2,N,,,,,,,,,,,,,,,,,,,,,,,,42724204.8,42724204.8,42724204.8,42724204.8,42724204.8,42724204.8,0,,,,,,,,,,,0,0,0,037833100
20201023,SST,11,AFFIL,046353108,,1637100,52,85129200,85129200,85129200,,91043289.68,AZN,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-5914089.68,-5914089.68,N,,,,,,,,,,,,,,,,,,,,,,,,91043289.68,91043289.68,91043289.68,91043289.68,91043289.68,91043289.68,0,,,,,,,,,,,0,0,0,046353108
20201023,SST,11,AFFIL,053611109,,505300,141.74,71621222,71621222,71621222,,58288902.33,AVY,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,13332319.67,13332319.67,N,,,,,,,,,,,,,,,,,,,,,,,,58288902.33,58288902.33,58288902.33,58288902.33,58288902.33,58288902.33,0,,,,,,,,,,,0,0,0,053611109
20201023,SST,11,AFFIL,060505104,,4083700,24.9,101684130,101684130,101684130,,148250888.7,BAC,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-46566758.68,-46566758.68,N,,,,,,,,,,,,,,,,,,,,,,,,148250888.7,148250888.7,148250888.7,148250888.7,148250888.7,148250888.7,0,,,,,,,,,,,0,0,0,060505104
20201023,SST,11,AFFIL,09247X101,,147900,637.31,94258149,94258149,94258149,,85210183.46,BLK,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,9047965.54,9047965.54,N,,,,,,,,,,,,,,,,,,,,,,,,85210183.46,85210183.46,85210183.46,85210183.46,85210183.46,85210183.46,0,,,,,,,,,,,0,0,0,09247X101
20201023,SST,11,AFFIL,110122108,,1319900,60.13,79365587,79365587,79365587,,88505980.75,BMY,558270,558270,558270,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-9140393.75,-9140393.75,N,,,,,,,,,,,,,,,,,,,,,,,,88505980.75,88505980.75,88505980.75,88505980.75,88505980.75,88505980.75,0,,,,,,,,,,,0,0,0,110122108
20201023,SST,11,AFFIL,12572Q105,,223700,163.86,36655482,36655482,36655482,,43745567.38,CME,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-7090085.38,-7090085.38,N,,,,,,,,,,,,,,,,,,,,,,,,43745567.38,43745567.38,43745567.38,43745567.38,43745567.38,43745567.38,0,,,,,,,,,,,0,0,0,12572Q105
20201023,SST,11,AFFIL,125896100,,1173700,65.85,77288145,77288145,77288145,,76692736.49,CMS,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,595408.51,595408.51,N,,,,,,,,,,,,,,,,,,,,,,,,76692736.49,76692736.49,76692736.49,76692736.49,76692736.49,76692736.49,0,,,,,,,,,,,0,0,0,125896100
20201023,SST,11,AFFIL,166764100,,761532,72.57,55264377.24,55264377.24,55264377.24,,84267230.13,CVX,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-29002852.89,-29002852.89,N,,,,,,,,,,,,,,,,,,,,,,,,84267230.13,84267230.13,84267230.13,84267230.13,84267230.13,84267230.13,0,,,,,,,,,,,0,0,0,166764100
20201023,SST,11,AFFIL,174610105,,1340400,29.13,39045852,39045852,39045852,,41980373.61,CFG,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-2934521.61,-2934521.61,N,,,,,,,,,,,,,,,,,,,,,,,,41980373.61,41980373.61,41980373.61,41980373.61,41980373.61,41980373.61,0,,,,,,,,,,,0,0,0,174610105
20201023,SST,11,AFFIL,191216100,,1675900,50.52,84666468,84666468,84666468,,88454805.15,KO,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-3788337.15,-3788337.15,N,,,,,,,,,,,,,,,,,,,,,,,,88454805.15,88454805.15,88454805.15,88454805.15,88454805.15,88454805.15,0,,,,,,,,,,,0,0,0,191216100
20201023,SST,11,AFFIL,20030N101,,2151900,45.06,96964614,96964614,96964614,,96563820.31,CMCSA,498019,498019,498019,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,400793.69,400793.69,N,,,,,,,,,,,,,,,,,,,,,,,,96563820.31,96563820.31,96563820.31,96563820.31,96563820.31,96563820.31,0,,,,,,,,,,,0,0,0,20030N101
20201023,SST,11,AFFIL,22822V101,,427500,158.47,67745925,67745925,67745925,,69451940.47,CCI,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,040,040,Y,20201116,USD,USD,,,USD,-1706015.47,-1706015.47,N,,,,,,,,,,,,,,,,,,,,,,,,69451940.47,69451940.47,69451940.47,69451940.47,69451940.47,69451940.47,0,,,,,,,,,,,0,0,0,22822V101
20201023,SST,11,AFFIL,254709108,,1262400,68,85843200,85843200,85843200,,77698306.69,DFS,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,8144893.31,8144893.31,N,,,,,,,,,,,,,,,,,,,,,,,,77698306.69,77698306.69,77698306.69,77698306.69,77698306.69,77698306.69,0,,,,,,,,,,,0,0,0,254709108
20201023,SST,11,AFFIL,256677105,,330600,215.44,71224464,71224464,71224464,,59428313.74,DG,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,11796150.26,11796150.26,N,,,,,,,,,,,,,,,,,,,,,,,,59428313.74,59428313.74,59428313.74,59428313.74,59428313.74,59428313.74,0,,,,,,,,,,,0,0,0,256677105
20201023,SST,11,AFFIL,260003108,,632700,116.27,73564029,73564029,73564029,,62884648.7,DOV,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,10679380.3,10679380.3,N,,,,,,,,,,,,,,,,,,,,,,,,62884648.7,62884648.7,62884648.7,62884648.7,62884648.7,62884648.7,0,,,,,,,,,,,0,0,0,260003108
20201023,SST,11,AFFIL,278865100,,348400,204.87,71376708,71376708,71376708,,71633007.56,ECL,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-256299.56,-256299.56,N,,,,,,,,,,,,,,,,,,,,,,,,71633007.56,71633007.56,71633007.56,71633007.56,71633007.56,71633007.56,0,,,,,,,,,,,0,0,0,278865100
20201023,SST,11,AFFIL,31428X106,,259800,283.56,73668888,73668888,73668888,,66255105.9,FDX,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,7413782.1,7413782.1,N,,,,,,,,,,,,,,,,,,,,,,,,66255105.9,66255105.9,66255105.9,66255105.9,66255105.9,66255105.9,0,,,,,,,,,,,0,0,0,31428X106
20201023,SST,11,AFFIL,337932107,,1396500,33.3,46503450,46503450,46503450,,56139248.19,FE,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,-9635798.19,-9635798.19,N,,,,,,,,,,,,,,,,,,,,,,,,56139248.19,56139248.19,56139248.19,56139248.19,56139248.19,56139248.19,0,,,,,,,,,,,0,0,0,337932107
